ID,Latitude,Longitude
0,29.678365999999997,-82.279617
1,30.296046,-82.12285200000001
2,30.265589000000002,-85.505905
3,30.227208,-85.56205
4,29.954225,-82.10794399999999
5,28.450909999999997,-80.783084
6,26.115415,-80.14270400000001
7,30.44319,-85.043251
8,26.914953000000004,-82.006833
9,28.845128000000003,-82.476939
10,30.003759000000002,-81.686229
11,26.129695,-81.763429
12,30.193897999999997,-82.510183
13,30.21845,-82.64648299999999
14,27.217069,-81.85626500000001
15,29.629528000000004,-83.095343
16,30.327999,-81.649466
17,30.337644,-81.709501
18,30.326210999999997,-81.65110899999999
19,30.443573999999998,-87.236581
20,29.452094,-81.256027
21,29.766238,-84.832625
22,30.592064,-84.655209
23,30.588079999999998,-84.57099000000001
24,29.602128999999998,-82.820364
25,26.837777000000003,-81.12289399999999
26,26.837956,-81.12289100000001
27,29.814752000000002,-85.28995
28,30.526319,-82.941467
29,27.543852,-81.801673
30,26.760475,-81.436737
31,28.4838,-82.451735
32,27.493840000000002,-81.43605699999999
33,27.958025,-82.372966
34,30.751146000000002,-85.66454300000001
35,27.665888,-80.42845600000001
36,30.945338,-85.49283100000001
37,30.764242,-85.255626
38,30.504398,-83.879675
39,30.054629,-83.17624599999999
40,28.802302,-81.73293100000001
41,26.634208,-81.811549
42,30.436652000000002,-84.33564399999999
43,29.466021,-82.639624
44,30.431737,-84.979652
45,30.481871,-83.448913
46,27.641810999999997,-82.53579599999999
47,29.191447999999998,-82.176397
48,27.171073,-80.242866
49,25.831666000000002,-80.239767
50,24.577453,-81.75148100000001
51,30.611014,-81.631642
52,30.761682,-86.557874
53,27.246940000000002,-80.834535
54,28.503529999999998,-81.41685600000001
55,28.29617,-81.352532
56,26.657633,-80.717508
57,26.671765999999998,-80.092483
58,27.881335999999997,-81.81950400000001
59,29.668011,-81.66234399999999
60,30.644733000000002,-86.95083000000001
61,30.643492,-86.974312
62,27.336063,-82.529494
63,28.747792999999998,-81.298249
64,29.9403,-81.338802
65,27.453459999999996,-80.409438
66,28.662692,-82.109756
67,30.29549,-82.986069
68,30.110547999999998,-83.57235899999999
69,30.02386,-82.33858000000001
70,29.138844,-81.14601400000001
71,30.195946999999997,-84.376778
72,30.783540000000002,-86.103923
73,30.764229999999998,-85.52379
